Date,code,open,high,low,close,volume,dividends,stock splits
2010-07-26,0027.HK,4.569,4.7589999999999995,4.54,4.75,11446985,0.0,0.0
2010-07-26,1398.HK,3.674,3.687,3.637,3.674,200623596,0.0,0.0
2010-07-26,1928.HK,7.535,7.836,7.535,7.7829999999999995,17997750,0.0,0.0
2010-07-26,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-27,0001.HK,45.00899999999999,45.248999999999995,44.531000000000006,44.913999999999994,5137690,0.0,0.0
2010-07-27,0011.HK,68.01100000000001,68.14,67.75399999999999,68.01100000000001,1095224,0.0,0.0
2010-07-27,0027.HK,4.7589999999999995,4.8069999999999995,4.5969999999999995,4.6160000000000005,12243500,0.0,0.0
2010-07-27,1398.HK,3.6489999999999996,3.6489999999999996,3.6489999999999996,3.6489999999999996,0,0.0,0.0
2010-07-27,1928.HK,7.7829999999999995,7.914,7.718,7.7829999999999995,8303676,0.0,0.0
2010-07-27,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-28,0001.HK,44.674,45.321000000000005,44.674,44.818000000000005,6461289,0.0,0.0
2010-07-28,0011.HK,67.883,68.782,67.883,68.718,2847657,0.0,0.0
2010-07-28,0027.HK,4.6160000000000005,4.7589999999999995,4.6160000000000005,4.721,10634554,0.0,0.0
2010-07-28,1398.HK,3.6310000000000002,3.687,3.6310000000000002,3.668,198264824,0.0,0.0
2010-07-28,1928.HK,7.849,7.901,7.757000000000001,7.8229999999999995,12615200,0.0,0.0
2010-07-28,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-29,0001.HK,44.77,45.153,44.483000000000004,44.961999999999996,3451291,0.0,0.0
2010-07-29,0011.HK,68.589,68.975,67.819,68.782,2835808,0.0,0.0
2010-07-29,0027.HK,4.664,4.845,4.654,4.769,5582475,0.0,0.0
2010-07-29,1398.HK,3.687,3.687,3.687,3.687,0,0.0,0.0
2010-07-29,1928.HK,8.058,8.123,7.796,7.8229999999999995,8669401,0.0,0.0
2010-07-29,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-07-30,0001.HK,45.00899999999999,45.081,44.626000000000005,44.89,3291927,0.0,0.0
2010-07-30,0011.HK,68.589,69.296,68.589,69.10300000000001,2418170,0.0,0.0
2010-07-30,0027.HK,4.7780000000000005,4.949,4.7780000000000005,4.921,6408127,0.0,0.0
2010-07-30,1398.HK,3.674,3.7119999999999997,3.662,3.699,149352779,0.0,0.0
2010-07-30,1928.HK,7.8229999999999995,7.914,7.81,7.849,7198595,0.0,0.0
2010-07-30,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-02,0001.HK,45.248999999999995,45.919,45.248999999999995,45.823,7094405,0.0,0.0
2010-08-02,0011.HK,69.42399999999999,70.002,68.975,70.002,2209489,0.0,0.0
2010-08-02,0027.HK,5.073,5.187,4.949,5.149,7626903,0.0,0.0
2010-08-02,1398.HK,3.7489999999999997,3.7489999999999997,3.7489999999999997,3.7489999999999997,0,0.0,0.0
2010-08-02,1928.HK,7.9670000000000005,8.045,7.744,7.836,5268092,0.0,0.0
2010-08-02,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-03,0001.HK,46.326,46.326,45.895,46.278,6843957,0.0,0.0
2010-08-03,0011.HK,69.938,70.195,69.36,69.42399999999999,2967970,0.0,0.0
2010-08-03,0027.HK,5.187,5.597,5.187,5.33,17882740,0.0,0.0
2010-08-03,1398.HK,3.799,3.799,3.7239999999999998,3.73,219768255,0.0,0.0
2010-08-03,1928.HK,7.901,7.9670000000000005,7.666,7.678999999999999,9110151,0.0,0.0
2010-08-03,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-04,0001.HK,46.542,46.82899999999999,46.135,46.302,5992992,0.0,0.0
2010-08-04,0011.HK,70.195,70.58,69.553,70.516,2811103,0.0,0.0
2010-08-04,0027.HK,5.33,5.511,5.235,5.359,4506898,0.0,0.0
2010-08-04,1398.HK,3.78,3.78,3.7239999999999998,3.7430000000000003,168098398,0.0,0.0
2010-08-04,1928.HK,7.718,7.718,7.561,7.666,10193700,0.0,0.0
2010-08-04,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-05,0001.HK,46.015,46.542,46.015,46.254,4236915,0.0,0.0
2010-08-05,0011.HK,71.03,71.158,70.452,71.094,2669866,0.0,0.0
2010-08-05,0027.HK,5.454,5.454,5.064,5.102,5934183,0.0,0.0
2010-08-05,1398.HK,3.718,3.73,3.699,3.7239999999999998,144943461,0.0,0.0
2010-08-05,1928.HK,7.77,7.836,7.705,7.718,3800943,0.0,0.0
2010-08-05,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-06,0001.HK,46.925,48.122,46.373999999999995,48.074,20800228,0.0,0.0
2010-08-06,0011.HK,71.094,71.158,70.388,71.03,1627853,0.0,0.0
2010-08-06,0027.HK,5.121,5.206,4.949,5.149,5290389,0.0,0.0
2010-08-06,1398.HK,3.7119999999999997,3.7489999999999997,3.693,3.7239999999999998,173048944,0.0,0.0
2010-08-06,1928.HK,7.8229999999999995,7.8229999999999995,7.678999999999999,7.7829999999999995,6141800,0.0,0.0
2010-08-06,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-09,0001.HK,48.409,49.271,48.218,49.07899999999999,14577355,0.0,0.0
2010-08-09,0011.HK,70.64399999999999,70.773,70.388,70.58,1099245,0.0,0.0
2010-08-09,0027.HK,5.102,5.254,5.064,5.206,2706846,0.0,0.0
2010-08-09,1398.HK,3.7239999999999998,3.7239999999999998,3.7239999999999998,3.7239999999999998,0,0.0,0.0
2010-08-09,1928.HK,7.7829999999999995,7.796,7.638999999999999,7.718,6966200,0.0,0.0
2010-08-09,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-10,0001.HK,49.415,49.415,48.122,48.457,10959705,0.0,0.0
2010-08-10,0011.HK,70.32300000000001,70.64399999999999,70.259,70.388,1589517,0.0,0.0
2010-08-10,0027.HK,5.3020000000000005,5.3020000000000005,5.149,5.167999999999999,4155135,0.0,0.0
2010-08-10,1398.HK,3.73,3.7489999999999997,3.668,3.674,223859972,0.0,0.0
2010-08-10,1928.HK,7.7829999999999995,7.7829999999999995,7.666,7.705,2129600,0.0,0.0
2010-08-10,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-11,0001.HK,48.409,49.51,48.409,48.744,9342284,0.0,0.0
2010-08-11,0011.HK,70.96600000000001,70.96600000000001,69.874,70.002,1941546,0.0,0.0
2010-08-11,0027.HK,5.14,5.159,4.988,4.997,5823200,0.0,0.0
2010-08-11,1398.HK,3.674,3.687,3.562,3.5810000000000004,310145529,0.0,0.0
2010-08-11,1928.HK,7.7829999999999995,7.7829999999999995,7.574,7.587000000000001,8260548,0.0,0.0
2010-08-11,2318.HK,26.725,26.725,26.725,26.725,0,0.0,0.0
2010-08-12,0001.HK,48.17,49.653999999999996,47.882,49.271,15625041,0.0,0.0
2010-08-12,0011.HK,70.002,70.131,69.553,69.745,1648787,0.0,0.0
2010-08-12,0027.HK,4.949,5.016,4.835,4.997,4609000,0.0,0.0
