code,in_time,out_time
600276,2006-07-03,2007-01-04
600276,2009-07-01,2010-07-01
600276,2011-01-04,
600277,2014-06-16,2015-12-14
600282,2005-04-08,2011-01-04
600296,2005-04-08,2007-04-30
600297,2016-12-12,
600299,2019-06-17,
600299,2009-01-05,2010-01-04
600299,2006-07-03,2008-01-02
600300,2010-07-01,2012-01-04
600307,2005-04-08,2013-01-04
600308,2005-04-08,2010-01-04
600309,2005-04-08,
600312,2010-01-04,2012-01-04
600312,2007-01-04,2008-01-02
600315,2012-07-02,2016-06-13
600316,2007-01-04,2015-12-14
600317,2015-06-15,2016-12-12
600320,2005-04-08,2013-01-04
600325,2008-01-02,2011-07-01
600331,2006-01-01,2013-07-01
600332,2007-01-04,2007-07-02
600332,2013-07-01,
600333,2005-04-08,2007-05-29
600339,2006-01-01,2006-11-10
600339,2018-06-11,2019-12-16
600340,2013-01-04,
600346,2018-06-11,
600348,2005-04-08,2015-12-14
600350,2005-04-08,2011-07-01
600350,2015-12-14,2016-06-13
600352,2009-07-01,
600357,2005-04-08,2009-12-29
600361,2006-07-03,2008-01-02
600362,2005-04-08,
600369,2010-01-04,
600372,2012-01-04,
600373,2014-12-15,2018-12-17
600376,2008-07-01,2014-12-15
600376,2016-06-13,2018-12-17
600377,2008-01-02,2009-01-05
600377,2005-04-08,2007-07-02
600380,2005-07-01,2006-07-03
600380,2007-12-26,2012-07-02
600383,2006-01-01,
600390,2017-12-11,
600395,2009-07-01,2015-06-15
600398,2018-06-11,
600398,2014-12-15,2016-12-12
600399,2006-01-01,2007-01-04
600403,2013-07-01,2014-12-15
600406,2011-01-04,
600406,2006-07-03,2007-01-04
600408,2005-04-08,2007-01-04
600410,2006-07-03,2008-01-02
600415,2006-07-03,2019-12-16
600418,2006-01-01,2013-01-04
600426,2009-01-05,2011-01-04
600428,2005-04-08,2012-07-02
600432,2007-01-04,2013-12-16
600436,2017-06-12,
600436,2013-07-01,2015-06-15
600438,2018-06-11,
600446,2016-06-13,2017-12-11
600456,2006-07-03,2013-07-01
600460,2006-07-03,2008-01-02
600472,2007-01-04,2007-12-26
600481,2011-01-04,2012-07-02
600482,2016-12-12,
600485,2014-12-15,2018-06-11
600487,2018-06-11,
600489,2005-04-08,2005-07-01
600489,2007-01-04,
600497,2007-01-04,2015-12-14
600498,2016-12-12,
600498,2012-01-04,2015-06-15
600498,2006-07-03,2008-01-02
600500,2005-04-08,2013-01-04
600501,2007-04-30,2008-07-01
600508,2005-04-08,2013-12-16
600516,2018-06-11,
600516,2009-07-01,2015-12-14
600517,2010-01-04,2012-01-04
600518,2009-07-01,2019-06-17
600519,2005-04-08,
600521,2006-07-03,2008-01-02
600522,2017-06-12,
600528,2007-07-02,2014-06-16
600535,2006-07-03,2009-01-05
600535,2011-01-04,2020-06-15
600546,2011-01-04,2014-12-15
600547,2007-01-04,
600548,2008-01-02,2010-01-04
600548,2005-04-08,2007-07-02
600549,2006-07-03,2016-06-13
600549,2017-02-14,2019-06-17
600550,2006-01-01,2013-12-16
600566,2018-12-17,2020-06-15
600569,2005-04-08,2011-01-04
600570,2014-12-15,
600578,2014-12-15,2016-12-12
600578,2006-07-03,2007-01-04
600581,2005-04-08,2007-01-04
600582,2013-01-04,2014-06-16
600582,2011-01-04,2012-07-02
600582,2016-06-13,2017-06-12
600582,2009-07-01,2010-07-01
600583,2005-04-08,
600585,2005-04-08,
600588,2006-07-03,2008-01-02
600588,2009-01-05,
600591,2005-04-08,2009-07-01
600595,2008-01-02,2013-01-04
600596,2007-01-04,2011-07-01
600597,2005-04-08,2011-07-01
600597,2013-12-16,2015-12-14
600598,2005-04-08,2014-06-16
600600,2005-04-08,2016-12-12
600601,2005-04-08,2011-07-01
600602,2005-04-08,2007-07-02
600606,2016-06-13,
600608,2005-04-08,2006-07-03
600611,2008-01-02,2011-07-01
600616,2006-07-03,2010-01-04
600621,2005-04-08,2007-01-04
600627,2006-04-24,2007-07-02
600628,2006-07-03,2009-01-05
600630,2005-04-08,2006-01-01
600631,2005-04-08,2011-08-23
600633,2014-06-16,2016-06-13
600635,2005-04-08,2012-07-02
600637,2013-01-04,
600637,2005-04-08,2007-07-02
600638,2005-04-08,2006-01-01
600638,2008-01-02,2010-07-01
600639,2005-04-08,2010-07-01
600641,2005-04-08,2005-07-01
600642,2005-04-08,2016-12-12
600643,2005-04-08,2011-01-04
600648,2013-12-16,2017-06-12
600648,2010-01-04,2010-07-01
600649,2005-04-08,2018-06-11
600652,2005-04-08,2007-01-04
600653,2005-04-08,2010-01-04
600654,2016-12-12,2017-06-12
600654,2005-04-08,2007-01-04
600655,2006-07-03,2015-06-15
600655,2019-12-16,
600657,2010-01-04,2011-07-01
600660,2005-04-08,
600662,2005-04-08,2008-07-01
600663,2005-04-08,2011-07-01
600663,2019-06-17,2020-06-15
600663,2013-12-16,2018-12-17
600664,2009-01-05,2015-06-15
