pair_id,cash_inflow,order_time
599.0,-3.0,2019-07-05 00:06:00
601.0,-2.0,2019-07-05 00:12:00
603.0,-7.0,2019-07-05 00:15:00
605.0,-4.0,2019-07-05 00:21:00
607.0,-2.0,2019-07-05 00:27:00
609.0,-4.0,2019-07-05 00:33:00
611.0,-3.0,2019-07-05 00:38:00
613.0,-5.0,2019-07-05 00:43:00
615.0,-3.0,2019-07-05 00:52:00
617.0,-27.0,2019-07-05 00:55:00
619.0,-13.0,2019-07-05 01:02:00
621.0,-9.0,2019-07-05 01:05:00
623.0,-8.0,2019-07-05 01:10:00
625.0,-4.0,2019-07-05 01:18:00
627.0,-3.0,2019-07-05 01:23:00
629.0,-2.0,2019-07-05 01:30:00
631.0,-4.0,2019-07-05 01:36:00
633.0,-1.0,2019-07-05 01:44:00
635.0,0.0,2019-07-05 01:49:00
637.0,-3.0,2019-07-05 01:51:00
639.0,-1.0,2019-07-05 01:58:00
641.0,-1.0,2019-07-05 02:01:00
643.0,-1.0,2019-07-05 02:05:00
645.0,3.0,2019-07-05 02:10:00
647.0,-8.0,2019-07-05 02:23:00
649.0,9.0,2019-07-05 02:42:00
651.0,12.0,2019-07-05 02:59:00
653.0,-6.0,2019-07-05 09:22:00
655.0,-21.0,2019-07-05 09:28:00
657.0,-7.0,2019-07-05 09:36:00
659.0,14.0,2019-07-05 09:37:00
661.0,-18.0,2019-07-05 09:38:00
663.0,15.0,2019-07-05 09:50:00
665.0,3.0,2019-07-05 09:52:00
667.0,36.0,2019-07-05 10:06:00
669.0,7.0,2019-07-05 10:09:00
671.0,6.0,2019-07-05 10:11:00
673.0,158.0,2019-07-05 10:45:00
675.0,18.0,2019-07-05 10:55:00
677.0,-6.0,2019-07-05 10:59:00
679.0,-9.0,2019-07-05 11:06:00
681.0,-37.0,2019-07-05 11:11:00
683.0,11.0,2019-07-05 11:25:00
685.0,18.0,2019-07-05 11:43:00
687.0,0.0,2019-07-05 11:45:00
689.0,-8.0,2019-07-05 11:46:00
691.0,0.0,2019-07-05 11:58:00
693.0,-5.0,2019-07-05 12:00:00
695.0,-18.0,2019-07-05 13:16:00
697.0,-16.0,2019-07-05 13:19:00
699.0,-30.0,2019-07-05 13:24:00
701.0,2.0,2019-07-05 13:33:00
703.0,-6.0,2019-07-05 13:36:00
705.0,-15.0,2019-07-05 13:40:00
707.0,-6.0,2019-07-05 13:46:00
709.0,-5.0,2019-07-05 13:47:00
711.0,-4.0,2019-07-05 13:48:00
713.0,-7.0,2019-07-05 13:51:00
715.0,-7.0,2019-07-05 13:55:00
717.0,-16.0,2019-07-05 14:04:00
719.0,8.0,2019-07-05 14:22:00
721.0,-10.0,2019-07-05 14:26:00
723.0,-7.0,2019-07-05 14:31:00
725.0,-14.0,2019-07-05 14:34:00
727.0,17.0,2019-07-05 14:53:00
729.0,-2.0,2019-07-05 14:56:00
731.0,-10.0,2019-07-05 14:59:00
733.0,-29.0,2019-07-05 15:03:00
735.0,3.0,2019-07-05 15:12:00
737.0,-8.0,2019-07-05 15:17:00
739.0,-14.0,2019-07-05 15:21:00
741.0,-12.0,2019-07-05 15:26:00
743.0,-10.0,2019-07-05 15:30:00
745.0,-5.0,2019-07-05 15:36:00
747.0,7.0,2019-07-05 15:47:00
749.0,-13.0,2019-07-05 15:50:00
751.0,-15.0,2019-07-05 15:57:00
753.0,-1.0,2019-07-05 16:05:00
755.0,28.0,2019-07-05 17:23:00
757.0,-2.0,2019-07-05 17:29:00
759.0,-10.0,2019-07-05 17:32:00
761.0,-13.0,2019-07-05 17:38:00
763.0,3.0,2019-07-05 17:54:00
765.0,-9.0,2019-07-05 17:58:00
767.0,-9.0,2019-07-05 18:03:00
769.0,18.0,2019-07-05 18:29:00
771.0,10.0,2019-07-05 18:42:00
773.0,-5.0,2019-07-05 18:45:00
775.0,-3.0,2019-07-05 18:52:00
777.0,4.0,2019-07-05 19:08:00
779.0,0.0,2019-07-05 19:10:00
781.0,0.0,2019-07-05 19:12:00
783.0,-3.0,2019-07-05 19:13:00
785.0,-2.0,2019-07-05 19:14:00
787.0,-1.0,2019-07-05 19:15:00
789.0,-5.0,2019-07-05 19:22:00
791.0,-3.0,2019-07-05 19:37:00
793.0,-1.0,2019-07-05 19:48:00
795.0,35.0,2019-07-05 20:18:00
797.0,-7.0,2019-07-05 20:22:00
799.0,-10.0,2019-07-05 20:28:00
801.0,-47.0,2019-07-05 20:31:00
803.0,55.0,2019-07-05 20:51:00
805.0,-32.0,2019-07-05 20:55:00
807.0,-12.0,2019-07-05 21:00:00
809.0,-12.0,2019-07-05 21:04:00
811.0,13.0,2019-07-05 21:16:00
813.0,19.0,2019-07-05 21:26:00
815.0,-2.0,2019-07-05 21:29:00
817.0,22.0,2019-07-05 21:40:00
819.0,8.0,2019-07-05 21:50:00
821.0,-10.0,2019-07-05 21:55:00
823.0,10.0,2019-07-05 22:06:00
825.0,12.0,2019-07-05 22:15:00
827.0,4.0,2019-07-05 22:18:00
829.0,-8.0,2019-07-05 22:21:00
831.0,38.0,2019-07-05 22:50:00
833.0,10.0,2019-07-05 22:59:00
835.0,-2.0,2019-07-05 23:03:00
837.0,9.0,2019-07-05 23:06:00
839.0,6.0,2019-07-05 23:07:00
841.0,24.0,2019-07-05 23:27:00
843.0,-10.0,2019-07-05 23:31:00
845.0,-8.0,2019-07-05 23:37:00
847.0,-3.0,2019-07-05 23:52:00
849.0,-6.0,2019-07-06 00:06:00
851.0,-9.0,2019-07-06 00:11:00
853.0,21.0,2019-07-06 00:24:00
855.0,-3.0,2019-07-06 00:26:00
857.0,-1.0,2019-07-06 00:31:00
859.0,-2.0,2019-07-06 00:33:00
861.0,8.0,2019-07-06 00:51:00
863.0,-4.0,2019-07-06 00:54:00
865.0,-11.0,2019-07-06 00:59:00
867.0,-2.0,2019-07-06 01:09:00
869.0,0.0,2019-07-06 01:15:00
871.0,-1.0,2019-07-06 01:19:00
873.0,4.0,2019-07-06 01:30:00
875.0,-1.0,2019-07-06 01:43:00
877.0,-1.0,2019-07-06 01:51:00
879.0,-3.0,2019-07-06 02:02:00
881.0,-14.0,2019-07-06 02:09:00
883.0,-4.0,2019-07-06 02:21:00
885.0,16.0,2019-07-06 02:45:00
887.0,-3.0,2019-07-06 02:49:00
889.0,-81.0,2019-07-08 09:16:00
891.0,201.0,2019-07-08 09:41:00
893.0,10.0,2019-07-08 09:48:00
895.0,-52.0,2019-07-08 09:52:00
897.0,-60.0,2019-07-08 09:57:00
899.0,-10.0,2019-07-08 10:07:00
901.0,-6.0,2019-07-08 10:14:00
903.0,95.0,2019-07-08 10:42:00
905.0,-47.0,2019-07-08 10:46:00
907.0,-6.0,2019-07-08 10:59:00
909.0,53.0,2019-07-08 11:16:00
911.0,2.0,2019-07-08 11:17:00
913.0,-2.0,2019-07-08 11:27:00
915.0,4.0,2019-07-08 11:34:00
917.0,7.0,2019-07-08 11:36:00
919.0,-8.0,2019-07-08 11:40:00
921.0,3.0,2019-07-08 11:45:00
923.0,4.0,2019-07-08 11:48:00
925.0,-21.0,2019-07-08 13:04:00
927.0,38.0,2019-07-08 13:28:00
929.0,8.0,2019-07-08 13:35:00
931.0,24.0,2019-07-08 13:59:00
933.0,14.0,2019-07-08 14:07:00
935.0,-13.0,2019-07-08 14:09:00
937.0,-12.0,2019-07-08 14:18:00
939.0,-4.0,2019-07-08 14:26:00
941.0,16.0,2019-07-08 14:37:00
943.0,20.0,2019-07-08 14:50:00
945.0,-10.0,2019-07-08 14:52:00
947.0,-6.0,2019-07-08 15:01:00
949.0,68.0,2019-07-08 15:35:00
951.0,5.0,2019-07-08 15:47:00
953.0,-11.0,2019-07-08 15:48:00
955.0,-7.0,2019-07-08 15:53:00
957.0,-1.0,2019-07-08 15:59:00
959.0,-15.0,2019-07-08 16:04:00
961.0,33.0,2019-07-08 16:23:00
963.0,-13.0,2019-07-08 16:27:00
965.0,-42.0,2019-07-08 17:17:00
967.0,12.0,2019-07-08 17:34:00
969.0,10.0,2019-07-08 17:51:00
971.0,-6.0,2019-07-08 17:54:00
973.0,18.0,2019-07-08 18:14:00
975.0,4.0,2019-07-08 18:15:00
977.0,0.0,2019-07-08 18:22:00
979.0,29.0,2019-07-08 18:51:00
981.0,25.0,2019-07-08 19:21:00
983.0,-4.0,2019-07-08 19:27:00
985.0,5.0,2019-07-08 19:37:00
987.0,11.0,2019-07-08 19:47:00
989.0,-3.0,2019-07-08 19:49:00
991.0,1.0,2019-07-08 19:50:00
993.0,-3.0,2019-07-08 19:58:00
995.0,-13.0,2019-07-08 20:04:00
997.0,19.0,2019-07-08 20:26:00
999.0,-4.0,2019-07-08 20:32:00
1001.0,-3.0,2019-07-08 20:37:00
1003.0,5.0,2019-07-08 20:45:00
1005.0,0.0,2019-07-08 20:49:00
1007.0,-3.0,2019-07-08 20:53:00
1009.0,-7.0,2019-07-08 20:58:00
1011.0,-1.0,2019-07-08 21:05:00
1013.0,2.0,2019-07-08 21:16:00
1015.0,-9.0,2019-07-08 21:23:00
1017.0,-5.0,2019-07-08 21:30:00
1019.0,4.0,2019-07-08 21:45:00
1021.0,65.0,2019-07-08 22:22:00
1023.0,27.0,2019-07-08 22:39:00
1025.0,-6.0,2019-07-08 22:51:00
1027.0,-7.0,2019-07-08 22:59:00
1029.0,7.0,2019-07-08 23:09:00
1031.0,-4.0,2019-07-08 23:14:00
1033.0,-1.0,2019-07-08 23:21:00
1035.0,19.0,2019-07-08 23:39:00
1037.0,-2.0,2019-07-08 23:47:00
1039.0,-10.0,2019-07-08 23:52:00
1041.0,-4.0,2019-07-09 00:03:00
1043.0,14.0,2019-07-09 00:21:00
1045.0,-3.0,2019-07-09 00:25:00
1047.0,-7.0,2019-07-09 00:34:00
1049.0,-10.0,2019-07-09 00:40:00
1051.0,-4.0,2019-07-09 00:48:00
1053.0,17.0,2019-07-09 01:13:00
1055.0,0.0,2019-07-09 01:15:00
1057.0,-5.0,2019-07-09 01:23:00
1059.0,-2.0,2019-07-09 01:31:00
1061.0,-9.0,2019-07-09 01:41:00
1063.0,0.0,2019-07-09 01:49:00
1065.0,-5.0,2019-07-09 01:57:00
1067.0,-8.0,2019-07-09 02:10:00
1069.0,-6.0,2019-07-09 02:16:00
1071.0,-2.0,2019-07-09 02:21:00
1073.0,-8.0,2019-07-09 02:25:00
1075.0,-14.0,2019-07-09 02:30:00
1077.0,2.0,2019-07-09 02:44:00
1079.0,-8.0,2019-07-09 02:50:00
1081.0,-9.0,2019-07-09 02:55:00
1083.0,-12.0,2019-07-09 02:59:00
