code,time_key,cumulative_cash_inflow,holding
HK_FUTURE.999010,2019-07-04 11:09:00,-29295.0,1
HK_FUTURE.999010,2019-07-04 11:11:00,28577.0,-1
HK_FUTURE.999010,2019-07-04 11:12:00,-29317.0,1
HK_FUTURE.999010,2019-07-04 11:18:00,28487.0,-1
HK_FUTURE.999010,2019-07-04 11:30:00,-29263.0,1
HK_FUTURE.999010,2019-07-04 11:31:00,28507.0,-1
HK_FUTURE.999010,2019-07-04 11:35:00,-29281.0,1
HK_FUTURE.999010,2019-07-04 11:47:00,28505.0,-1
HK_FUTURE.999010,2019-07-04 11:52:00,-29313.0,1
HK_FUTURE.999010,2019-07-04 11:59:00,28489.0,-1
HK_FUTURE.999010,2019-07-04 13:02:00,-29321.0,1
HK_FUTURE.999010,2019-07-04 13:05:00,28467.0,-1
HK_FUTURE.999010,2019-07-04 13:10:00,-29333.0,1
HK_FUTURE.999010,2019-07-04 13:13:00,28449.0,-1
HK_FUTURE.999010,2019-07-04 13:19:00,-29365.0,1
HK_FUTURE.999010,2019-07-04 13:41:00,28511.0,-1
HK_FUTURE.999010,2019-07-04 13:50:00,-29363.0,1
HK_FUTURE.999010,2019-07-04 13:51:00,28499.0,-1
HK_FUTURE.999010,2019-07-04 13:58:00,-29377.0,1
HK_FUTURE.999010,2019-07-04 14:03:00,28451.0,-1
HK_FUTURE.999010,2019-07-04 14:16:00,-29379.0,1
HK_FUTURE.999010,2019-07-04 14:20:00,28417.0,-1
HK_FUTURE.999010,2019-07-04 14:43:00,-29341.0,1
HK_FUTURE.999010,2019-07-04 15:10:00,28467.0,-1
HK_FUTURE.999010,2019-07-04 15:13:00,-29375.0,1
HK_FUTURE.999010,2019-07-04 15:23:00,28457.0,-1
HK_FUTURE.999010,2019-07-04 15:37:00,-29355.0,1
HK_FUTURE.999010,2019-07-04 15:39:00,28455.0,-1
HK_FUTURE.999010,2019-07-04 16:00:00,-29283.0,1
HK_FUTURE.999010,2019-07-04 16:03:00,28441.0,-1
HK_FUTURE.999010,2019-07-04 16:11:00,-29297.0,1
HK_FUTURE.999010,2019-07-04 16:15:00,28407.0,-1
HK_FUTURE.999010,2019-07-04 16:26:00,-29295.0,1
HK_FUTURE.999010,2019-07-04 17:34:00,28441.0,-1
HK_FUTURE.999010,2019-07-04 17:44:00,-29289.0,1
HK_FUTURE.999010,2019-07-04 17:45:00,28447.0,-1
HK_FUTURE.999010,2019-07-04 17:47:00,-29287.0,1
HK_FUTURE.999010,2019-07-04 17:48:00,28445.0,-1
HK_FUTURE.999010,2019-07-04 17:49:00,-29291.0,1
HK_FUTURE.999010,2019-07-04 17:52:00,28433.0,-1
HK_FUTURE.999010,2019-07-04 17:59:00,-29297.0,1
HK_FUTURE.999010,2019-07-04 18:10:00,28433.0,-1
HK_FUTURE.999010,2019-07-04 18:21:00,-29295.0,1
HK_FUTURE.999010,2019-07-04 18:34:00,28425.0,-1
HK_FUTURE.999010,2019-07-04 18:53:00,-29293.0,1
HK_FUTURE.999010,2019-07-04 19:00:00,28421.0,-1
HK_FUTURE.999010,2019-07-04 19:04:00,-29303.0,1
HK_FUTURE.999010,2019-07-04 19:13:00,28413.0,-1
HK_FUTURE.999010,2019-07-04 19:18:00,-29325.0,1
HK_FUTURE.999010,2019-07-04 19:26:00,28409.0,-1
HK_FUTURE.999010,2019-07-04 19:37:00,-29317.0,1
HK_FUTURE.999010,2019-07-04 19:42:00,28415.0,-1
HK_FUTURE.999010,2019-07-04 19:54:00,-29327.0,1
HK_FUTURE.999010,2019-07-04 20:06:00,28419.0,-1
HK_FUTURE.999010,2019-07-04 20:08:00,-29327.0,1
HK_FUTURE.999010,2019-07-04 20:14:00,28423.0,-1
HK_FUTURE.999010,2019-07-04 20:15:00,-29325.0,1
HK_FUTURE.999010,2019-07-04 20:22:00,28419.0,-1
HK_FUTURE.999010,2019-07-04 20:26:00,-29331.0,1
HK_FUTURE.999010,2019-07-04 20:37:00,28415.0,-1
HK_FUTURE.999010,2019-07-04 20:44:00,-29339.0,1
HK_FUTURE.999010,2019-07-04 20:50:00,28407.0,-1
HK_FUTURE.999010,2019-07-04 21:17:00,-29331.0,1
HK_FUTURE.999010,2019-07-04 21:29:00,28405.0,-1
HK_FUTURE.999010,2019-07-04 21:43:00,-29323.0,1
HK_FUTURE.999010,2019-07-04 21:51:00,28399.0,-1
HK_FUTURE.999010,2019-07-04 21:55:00,-29337.0,1
HK_FUTURE.999010,2019-07-04 22:03:00,28391.0,-1
HK_FUTURE.999010,2019-07-04 22:16:00,-29327.0,1
HK_FUTURE.999010,2019-07-04 22:22:00,28371.0,-1
HK_FUTURE.999010,2019-07-04 22:29:00,-29329.0,1
HK_FUTURE.999010,2019-07-04 22:30:00,28365.0,-1
HK_FUTURE.999010,2019-07-04 22:47:00,-29341.0,1
HK_FUTURE.999010,2019-07-04 23:02:00,28367.0,-1
HK_FUTURE.999010,2019-07-04 23:18:00,-29325.0,1
HK_FUTURE.999010,2019-07-04 23:26:00,28363.0,-1
HK_FUTURE.999010,2019-07-04 23:33:00,-29335.0,1
HK_FUTURE.999010,2019-07-04 23:52:00,28383.0,-1
HK_FUTURE.999010,2019-07-04 23:56:00,-29337.0,1
HK_FUTURE.999010,2019-07-05 00:00:00,28363.0,-1
HK_FUTURE.999010,2019-07-05 00:07:00,-29343.0,1
HK_FUTURE.999010,2019-07-05 00:13:00,28359.0,-1
HK_FUTURE.999010,2019-07-05 00:16:00,-29357.0,1
HK_FUTURE.999010,2019-07-05 00:22:00,28351.0,-1
HK_FUTURE.999010,2019-07-05 00:28:00,-29361.0,1
HK_FUTURE.999010,2019-07-05 00:34:00,28343.0,-1
HK_FUTURE.999010,2019-07-05 00:39:00,-29367.0,1
HK_FUTURE.999010,2019-07-05 00:44:00,28333.0,-1
HK_FUTURE.999010,2019-07-05 00:53:00,-29373.0,1
HK_FUTURE.999010,2019-07-05 00:56:00,28279.0,-1
HK_FUTURE.999010,2019-07-05 01:03:00,-29399.0,1
HK_FUTURE.999010,2019-07-05 01:06:00,28261.0,-1
HK_FUTURE.999010,2019-07-05 01:11:00,-29415.0,1
HK_FUTURE.999010,2019-07-05 01:19:00,28253.0,-1
HK_FUTURE.999010,2019-07-05 01:24:00,-29421.0,1
HK_FUTURE.999010,2019-07-05 01:31:00,28249.0,-1
HK_FUTURE.999010,2019-07-05 01:37:00,-29429.0,1
HK_FUTURE.999010,2019-07-05 01:45:00,28247.0,-1
HK_FUTURE.999010,2019-07-05 01:50:00,-29429.0,1
HK_FUTURE.999010,2019-07-05 01:52:00,28241.0,-1
HK_FUTURE.999010,2019-07-05 01:59:00,-29431.0,1
HK_FUTURE.999010,2019-07-05 02:02:00,28239.0,-1
HK_FUTURE.999010,2019-07-05 02:06:00,-29433.0,1
HK_FUTURE.999010,2019-07-05 02:11:00,28245.0,-1
HK_FUTURE.999010,2019-07-05 02:24:00,-29449.0,1
HK_FUTURE.999010,2019-07-05 02:43:00,28263.0,-1
HK_FUTURE.999010,2019-07-05 03:00:00,-29425.0,1
HK_FUTURE.999010,2019-07-05 09:23:00,28251.0,-1
HK_FUTURE.999010,2019-07-05 09:29:00,-29467.0,1
HK_FUTURE.999010,2019-07-05 09:37:00,28237.0,-1
HK_FUTURE.999010,2019-07-05 09:38:00,-29439.0,1
HK_FUTURE.999010,2019-07-05 09:39:00,28201.0,-1
